stationID,solarSystem,stationName
60000004,Muvolailen,Muvolailen X - Moon 3 - CBD Corporation Storage
60000007,Ono,Ono V - Moon 9 - CBD Corporation Storage
60000010,Annaro,Annaro I - CBD Corporation Storage
60000013,Ono,Ono V - Moon 2 - CBD Corporation Storage
60000016,Tasabeshi,Tasabeshi VIII - Moon 13 - CBD Corporation Storage
60000019,Tasabeshi,Tasabeshi VI - Moon 1 - CBD Corporation Storage
60000022,Ney,Ney X - Moon 15 - CBD Corporation Storage
60000025,Ardene,Ardene VIII - Moon 5 - CBD Corporation Storage
60000028,Schoorasana,Schoorasana VI - Moon 1 - CBD Corporation Storage
60000031,Schoorasana,Schoorasana VI - Moon 6 - CBD Corporation Storage
60000034,Ardene,Ardene VI - Moon 12 - CBD Corporation Storage
60000037,Ney,Ney X - Moon 12 - CBD Corporation Storage
60000040,Eiluvodi,Eiluvodi VI - Moon 14 - CBD Corporation Storage
60000043,Eiluvodi,Eiluvodi VIII - Moon 2 - CBD Corporation Storage
60000046,Vorsk,Vorsk IV - Moon 1 - CBD Corporation Storage
60000049,Bongveber,Bongveber IX - Moon 10 - CBD Corporation Storage
60000052,Roleinn,Roleinn X - Moon 13 - CBD Corporation Storage
60000055,Freatlidur,Freatlidur IX - Moon 15 - CBD Corporation Storage
60000058,Hatori,Hatori X - Moon 12 - CBD Corporation Storage
60000061,Malpara,Malpara II - CBD Corporation Storage
60000064,Hatori,Hatori X - Moon 10 - CBD Corporation Storage
60000067,Ronne,Ronne I - Moon 1 - CBD Corporation Storage
60000070,Hatori,Hatori IX - Moon 8 - CBD Corporation Storage
60000073,Junsen,Junsen V - Moon 20 - CBD Corporation Storage
60000076,Klingt,Klingt VII - Moon 2 - CBD Corporation Storage
60000079,Weld,Weld IV - Moon 14 - CBD Corporation Storage
60000082,Klingt,Klingt IV - Moon 1 - CBD Corporation Storage
60000085,Egbinger,Egbinger XI - Moon 3 - CBD Corporation Storage
60000088,Klingt,Klingt V - CBD Corporation Storage
60000091,Klingt,Klingt IX - Moon 3 - CBD Corporation Storage
60000094,Geffur,Geffur VIII - Moon 10 - CBD Corporation Storage
60000097,Lumegen,Lumegen V - Moon 2 - CBD Corporation Storage
60000100,Oppold,Oppold IX - Moon 6 - CBD Corporation Storage
60000103,Lumegen,Lumegen I - CBD Corporation Storage
60000106,Oppold,Oppold IV - Moon 1 - CBD Corporation Storage
60000109,Geffur,Geffur VII - Moon 3 - CBD Corporation Storage
60000112,Arnon,Arnon VIII - Moon 2 - CBD Corporation Storage
60000115,Adirain,Adirain V - Moon 4 - CBD Corporation Storage
60000118,Attyn,Attyn V - Moon 2 - CBD Corporation Storage
60000121,Lisbaetanne,Lisbaetanne I - CBD Corporation Storage
60000124,Arnon,Arnon XII - CBD Corporation Storage
60000127,Arnon,Arnon X - Moon 8 - CBD Corporation Storage
60000130,Chibi,Chibi VI - Moon 13 - CBD Corporation Storage
60000133,Pahineh,Pahineh VII - Moon 9 - CBD Corporation Storage
60000136,Avada,Avada II - CBD Corporation Storage
60000139,Haimeh,Haimeh IX - Moon 4 - CBD Corporation Storage
60000142,Chibi,Chibi VIII - Moon 21 - CBD Corporation Storage
60000145,Haimeh,Haimeh II - CBD Corporation Storage
60000148,Dammalin,Dammalin VI - CBD Corporation Storage
60000151,Gulmorogod,Gulmorogod VI - Moon 4 - CBD Corporation Storage
60000154,Olfeim,Olfeim V - Moon 3 - CBD Corporation Storage
60000157,Gulmorogod,Gulmorogod VIII - Moon 25 - CBD Corporation Storage
60000160,Alakgur,Alakgur VIII - Moon 2 - CBD Corporation Storage
60000163,Alakgur,Alakgur IX - Moon 9 - CBD Corporation Storage
60000166,Keba,Keba II - CBD Corporation Storage
60000169,Pserz,Pserz VIII - Moon 3 - CBD Corporation Storage
60000172,Soza,Soza XII - Moon 14 - CBD Corporation Storage
60000175,Pserz,Pserz XII - Moon 4 - CBD Corporation Storage
60000178,Vaini,Vaini III - CBD Corporation Storage
60000181,Keba,Keba IX - Moon 1 - CBD Corporation Storage
60000184,Shesha,Shesha III - CBD Corporation Storage
60000187,Hilaban,Hilaban VI - Moon 1 - CBD Corporation Storage
60000190,Hilaban,Hilaban IV - Moon 5 - CBD Corporation Storage
60000193,Hilaban,Hilaban III - Moon 3 - CBD Corporation Storage
60000196,Pimebeka,Pimebeka VIII - Moon 9 - CBD Corporation Storage
60000199,Hilaban,Hilaban VIII - Moon 1 - CBD Corporation Storage
60000202,Khabara,Khabara VII - Moon 15 - CBD Corporation Storage
60000205,Nebian,Nebian II - CBD Corporation Storage
60000208,Ami,Ami V - Moon 1 - CBD Corporation Storage
60000211,Ami,Ami VI - CBD Corporation Storage
60000214,Fensi,Fensi VI - Moon 10 - CBD Corporation Storage
60000217,Ami,Ami VII - Moon 1 - CBD Corporation Storage
60000220,Sinid,Sinid VI - CBD Corporation Storage
60000223,Zith,Zith IX - Moon 2 - CBD Corporation Storage
60000226,Ilas,Ilas V - Moon 1 - CBD Corporation Storage
60000229,Tew,Tew IX - Moon 9 - CBD Corporation Storage
60000232,Sinid,Sinid VI - Moon 2 - CBD Corporation Storage
60000235,Ilas,Ilas VII - Moon 10 - CBD Corporation Storage
60000238,Inis-Ilix,Inis-Ilix V - CBD Corporation Storage
60000241,Sonama,Sonama VI - Moon 12 - CBD Corporation Storage
60000244,Inis-Ilix,Inis-Ilix IV - Moon 1 - CBD Corporation Storage
60000247,Sonama,Sonama VII - Moon 5 - CBD Corporation Storage
60000250,Kothe,Kothe X - Moon 6 - CBD Corporation Storage
60000253,Suner,Suner VII - Moon 16 - CBD Corporation Storage
60000256,Elonaya,Elonaya X - Moon 22 - CBD Corporation Storage
60000259,Nonni,Nonni VI - CBD Corporation Storage
60000262,Nonni,Nonni IV - CBD Corporation Storage
60000265,Piak,Piak II - Moon 3 - CBD Corporation Storage
60000268,Nonni,Nonni III - CBD Corporation Storage
60000271,Elonaya,Elonaya X - Moon 11 - CBD Corporation Storage
60000274,Gekutami,Gekutami V - Moon 1 - Prompt Delivery Storage
60000277,Jakanerva,Jakanerva III - Moon 15 - Prompt Delivery Storage
60000280,Gekutami,Gekutami VII - Moon 3 - Prompt Delivery Storage
60000283,Mitsolen,Mitsolen IV - Moon 9 - Prompt Delivery Storage
60000286,Jatate,Jatate III - Moon 10 - Prompt Delivery Storage
60000289,Jatate,Jatate IV - Moon 17 - Prompt Delivery Storage
60000292,Geras,Geras IX - Moon 7 - Prompt Delivery Storage
60000295,Shihuken,Shihuken VII - Moon 10 - Prompt Delivery Storage
60000298,Unpas,Unpas VIII - Moon 11 - Prompt Delivery Storage
60000301,Hentogaira,Hentogaira III - Moon 6 - Prompt Delivery Storage
60000304,Hentogaira,Hentogaira IV - Prompt Delivery Storage
60000307,Kiainti,Kiainti IX - Moon 8 - Prompt Delivery Storage
60000310,Elonaya,Elonaya X - Moon 21 - Ytiri Storage
60000313,Piak,Piak IV - Moon 22 - Ytiri Storage
60000316,Piak,Piak III - Moon 19 - Ytiri Storage
60000319,Aunenen,Aunenen VII - Moon 1 - Ytiri Storage
60000322,Auviken,Auviken V - Moon 6 - Ytiri Storage
60000325,Oijamon,Oijamon III - Moon 12 - Ytiri Storage
60000328,Jeras,Jeras VII - Moon 15 - Ytiri Storage
60000331,Jeras,Jeras VII - Moon 1 - Ytiri Storage
60000334,Saatuban,Saatuban IX - Moon 1 - Ytiri Storage
60000337,Isikano,Isikano VIII - Moon 7 - Ytiri Storage
60000340,Piekura,Piekura VII - Moon 1 - Ytiri Storage
60000343,Isikano,Isikano VII - Moon 5 - Ytiri Storage
60000346,Ouranienen,Ouranienen IV - Ytiri Storage
60000349,Raussinen,Raussinen X - Moon 3 - Ytiri Storage
60000352,Uemisaisen,Uemisaisen VIII - Moon 10 - Ytiri Storage
60000355,Kino,Kino VII - Moon 13 - Ytiri Storage
60000358,Perimeter,Perimeter VI - Ytiri Storage
60000361,Jita,Jita IV - Moon 6 - Ytiri Storage
60000364,Jita,Jita V - Moon 14 - Ytiri Storage
60000367,Urlen,Urlen VII - Moon 8 - Ytiri Storage
60000370,Tunttaras,Tunttaras IX - Moon 11 - Ytiri Storage
60000373,Iidoken,Iidoken VI - Moon 8 - Ytiri Storage
60000376,Nourvukaiken,Nourvukaiken VII - Moon 18 - Ytiri Storage
60000379,Tsuguwa,Tsuguwa IV - Moon 15 - Ytiri Storage
60000382,Otanuomi,Otanuomi IV - Moon 5 - Ytiri Storage
60000385,Vouskiaho,Vouskiaho IV - Moon 1 - Ytiri Storage
60000388,Vouskiaho,Vouskiaho VI - Moon 14 - Ytiri Storage
60000391,Otanuomi,Otanuomi VI - Moon 9 - Ytiri Storage
60000394,Ikuchi,Ikuchi VI - Moon 15 - Ytiri Storage
60000397,Ohmahailen,Ohmahailen IV - Moon 2 - Ytiri Storage
60000400,Hirtamon,Hirtamon VI - Moon 6 - Ytiri Storage
60000403,Ikuchi,Ikuchi VI - Moon 6 - Ytiri Storage
60000406,Iivinen,Iivinen X - Moon 2 - Ytiri Storage
60000409,Hatakani,Hatakani VIII - Moon 17 - Ytiri Storage
60000412,Hatakani,Hatakani VIII - Moon 11 - Ytiri Storage
60000415,Iivinen,Iivinen VIII - Moon 8 - Ytiri Storage
60000418,Oichiya,Oichiya VII - Moon 6 - Ytiri Storage
60000421,Saila,Saila VII - Moon 15 - Ytiri Storage
60000424,Aramachi,Aramachi II - Moon 2 - Ytiri Storage
60000427,Isenairos,Isenairos VII - Moon 4 - Ytiri Storage
60000430,Suroken,Suroken VII - Moon 2 - Hyasyoda Corporation Mineral Reserve
60000433,Kusomonmon,Kusomonmon VI - Moon 4 - Hyasyoda Corporation Mining Outpost
60000436,Kusomonmon,Kusomonmon IV - Moon 4 - Hyasyoda Corporation Mining Outpost
60000439,Isikesu,Isikesu IV - Moon 14 - Hyasyoda Corporation Mining Outpost
60000442,Isikesu,Isikesu IV - Moon 7 - Hyasyoda Corporation Mineral Reserve
60000445,Kusomonmon,Kusomonmon VI - Moon 24 - Hyasyoda Corporation Mining Outpost
60000448,Urlen,Urlen VII - Moon 6 - Hyasyoda Corporation Refinery
60000451,Jita,Jita IV - Moon 6 - Hyasyoda Corporation Refinery
60000454,Niyabainen,Niyabainen VIII - Moon 16 - Hyasyoda Corporation Mineral Reserve
60000457,Niyabainen,Niyabainen IX - Moon 21 - Hyasyoda Corporation Mining Outpost
60000460,Niyabainen,Niyabainen IX - Moon 8 - Hyasyoda Corporation Mineral Reserve
60000463,Jita,Jita VI - Hyasyoda Corporation Refinery
60000466,Umokka,Umokka X - Moon 21 - Hyasyoda Corporation Mining Outpost
60000469,Umokka,Umokka VI - Moon 2 - Hyasyoda Corporation Mining Outpost
60000472,Ruvas,Ruvas VI - Moon 10 - Hyasyoda Corporation Refinery
60000475,Airkio,Airkio IX - Moon 14 - Hyasyoda Corporation Mineral Reserve
60000478,Umokka,Umokka VII - Moon 9 - Hyasyoda Corporation Mining Outpost
60000481,Airkio,Airkio IX - Moon 1 - Hyasyoda Corporation Mineral Reserve
60000484,Ohkunen,Ohkunen V - Moon 19 - Hyasyoda Corporation Mining Outpost
60000487,Wirashoda,Wirashoda VII - Moon 5 - Hyasyoda Corporation Mining Outpost
60000490,Wirashoda,Wirashoda V - Hyasyoda Corporation Mining Outpost
60000493,Eruka,Eruka V - Moon 5 - Hyasyoda Corporation Mining Outpost
60000496,Uchoshi,Uchoshi XI - Moon 12 - Hyasyoda Corporation Mineral Reserve
60000499,Eruka,Eruka VIII - Moon 18 - Hyasyoda Corporation Mining Outpost
60000502,Abagawa,Abagawa IV - Moon 2 - Hyasyoda Corporation Mineral Reserve
60000505,Jakanerva,Jakanerva IV - Moon 4 - Hyasyoda Corporation Refinery
60000508,Gekutami,Gekutami III - Hyasyoda Corporation Refinery
60000511,Gekutami,Gekutami V - Hyasyoda Corporation Mineral Reserve
60000514,Hampinen,Hampinen V - Moon 1 - Hyasyoda Corporation Mineral Reserve
60000517,Jakanerva,Jakanerva II - Moon 13 - Hyasyoda Corporation Refinery
60000520,Uminas,Uminas IV - Moon 1 - Hyasyoda Corporation Mining Outpost
60000523,Nuken,Nuken VII - Moon 20 - Hyasyoda Corporation Mining Outpost
60000526,Wuos,Wuos V - Moon 1 - Hyasyoda Corporation Mining Outpost
60000529,Airaken,Airaken VI - Moon 3 - Hyasyoda Corporation Mineral Reserve
